Title,Place,Land Size,PublishDate,Price
"Land (2150) For Sale At Xindanda, Pokhara",Kaski (Pokhara) > Chinedanda (Outskirt), ,17-12-2021,"Rs. 65,00,000"
Land For Rent In Sipadol Opposit To Doleshore Mahadev Bhaktapur,Bhaktapur > Sipadol (Suryabinayak)  ,"  Land Size (in aana/dhur): 4,3,",27-10-2021,"Rs. 10,000"
Land On Sale At Manjushree,Lalitpur > Nakhudole (Bhaisepati)  ,  Land Size (in aana/dhur): 4.1,14-12-2021,"Rs. 42,00,000"
Land On Sale,Lalitpur > Chapagaun (Bajrabarahi)  ,  Land Size (in aana/dhur): 4,21-03-2021,"Rs. 13,00,000"
"0-3-1-0 Land, 2.5 Storey New House For Sale In Imadol",Lalitpur > Imadol (Mahalaxmi)  ,  Land Size (in aana/dhur): 3.1,14-11-2021,"Rs. 2,00,00,000"
Commercial 5.5 Aanaa Land On Sale Dhumbarahi,Kathmandu > Dhumbarahi  ,  Land Size (in aana/dhur): 5.5,24-09-2021,"Rs. 75,00,000"
Plot Land Is On Sale At Chitwan Near Cg Temple.,Chitwan > Chitwan (Other Area), ,19-10-2021,"Rs. 50,00,000"
Vana Plus Made In Thailand Parket,, ,10-12-2021,Rs. 170
Land For Sale In Khumaltar,Lalitpur > Khumaltar, ,27-10-2021,"Rs. 43,00,000"
3 Ropani Land And Around 10000 Sq Ft House On Rent At Kalanki Near By,Kathmandu > Kalanki  ,  Land Size (in aana/dhur): 50,18-06-2021,"Rs. 3,00,000"
"Lalitpur , Sanepa Land On Sale",Lalitpur > Sanepa  ,  Land Size (in aana/dhur): 5,02-11-2021,"Rs. 1,00,00,000"
"Roland Cube-10gx 1x8"" 10-watt Cosm Combo Amp With Fx",, ,11-10-2021,"Rs. 19,500"
5 Ana Commercial Land At Kumarigal,Kathmandu > Kumarigal (Chabahil)  ,  Land Size (in aana/dhur): 5,10-04-2021,"Rs. 42,00,000"
16 Aana Land Sale At Budhanilkantha Pasikot,Kathmandu > Pasikot (Budhanilkantha)  ,  Land Size (in aana/dhur): 16,24-11-2021,"Rs. 33,00,000"
Big House With 3 Ropani Land For Rent Gothatar,Kathmandu > Gothatar (Kageshwor)  ,  Land Size (in aana/dhur): 48,27-11-2021,"Rs. 4,00,000"
"Land Sale At Balambu, Dahachok",Kathmandu > Balambu (Chandragiri), ,27-10-2021,"Rs. 25,00,000"
Land For Sale Jhaulhel,Bhaktapur > Changunarayan, ,12-12-2021,"Rs. 22,50,000"
Land For Sale At Bhaisepati Champi 25 Anna,Lalitpur > Champi (Karyabinayak)  ,  Land Size (in aana/dhur): 25,04-03-2021,"Rs. 30,00,000"
Land For Sale In Sitapaila,Kathmandu > Sitapaila (Nagarjun), ,27-10-2021,"Rs. 43,00,000"
Land/jagga,Kathmandu > Chabahil  ,  Land Size (in aana/dhur): 18,29-10-2021,"Rs. 1,00,00,000"
Kapan Semi Commercial Land In 20 Aana,Kathmandu > Akasedhara (Kapan)  ,  Land Size (in aana/dhur): 20,30-09-2021,"Rs. 31,50,000"
5 Aana Land Sale At Budhanilkantha Pasikot,Kathmandu > Budhanilkantha  ,  Land Size (in aana/dhur): 5,08-10-2021,"Rs. 35,00,000"
7 Aana Land Sale At Budhanilkantha Near Bus Station,Kathmandu > Budhanilkantha  ,  Land Size (in aana/dhur): 7,04-12-2021,"Rs. 45,00,000"
Bhimsen Gola 50 Mtr Away Well Shaped Land On Sale Facing East,Kathmandu > Bhimsengola (Old Baneshwor)  ,  Land Size (in aana/dhur): 19,30-10-2021,"Rs. 63,00,000"
Land Sale In Bhaktapur Kharipati,Bhaktapur > Kharipati (Changunarayan), ,19-07-2021,"Rs. 17,00,000"
Land For Sale Ganapokhari,Kathmandu > Tangal (Naxal)  ,  Land Size (in aana/dhur): 9,26-12-2021,"Rs. 70,00,000"
Land In Sanepa,Lalitpur > Sanepa  ,  Land Size (in aana/dhur): 38,19-09-2021,"Rs. 80,00,000"
1000 Ropani Land At Palungtar,Gorkha > Palungtar  ,  Land Size (in aana/dhur): 1600,21-05-2021,"Rs. 21,875"
Land For Sale Dhunch Pakha,Bhaktapur > Madhyapur Thimi, ,08-12-2021,"Rs. 35,50,000"
Land On Sale At Golfutar Sundarbasti Code No Gjblos 1694,Kathmandu > Golfutar (Budhanilkantha)  ,  Land Size (in aana/dhur): 6,01-01-2020,"Rs. 50,00,000"
Land Sale At Main Road,Bhaktapur > Nangkhel (Suryabinayak), ,24-11-2021,"Rs. 27,00,000"
Land On Sale At Saraswatinagar Code No 2538,Kathmandu > Chabahil  ,  Land Size (in aana/dhur): 11.1,29-08-2021,"Rs. 47,00,000"
Land On Sale At Thamel Kaldhara Code No Gjblos 2498,Kathmandu > Thamel  ,  Land Size (in aana/dhur): 11.1,08-01-2021,"Rs. 72,00,000"
Pepsi-cola Two Piece Land,Kathmandu > Pepsicola (Kadaghari)  ,  Land Size (in aana/dhur): 11,18-12-2021,"Rs. 70,00,000"
Land For Sale At Ganeshbasti,Kathmandu > Chundevi (Maharajgunj)  ,  Land Size (in aana/dhur): 6.1,22-09-2021,"Rs. 57,00,000"
Banasthali 4aana Land Sale,Kathmandu > Banasthali  ,  Land Size (in aana/dhur): 4,09-11-2021,"Rs. 72,00,000"
Land For Sale Pharping (fhs 022l),Kathmandu > Pharping (Dakshinkali)  ,  Land Size (in aana/dhur): 256,17-11-2021,"Rs. 7,00,000"
Land On Sale At Boudha Nearby Ramhiti,Kathmandu > Boudha  ,  Land Size (in aana/dhur): 9,11-10-2021,"Rs. 37,00,000"
24 Ana Land Sell Kapan Chunikhel,Kathmandu > Chunikhel (Budhanilkantha)  ,  Land Size (in aana/dhur): 24,11-09-2021,"Rs. 24,00,000"
Land On Sale At Narayanthan Code No 2589,Kathmandu > Narayanthan (Budhanilkantha)  ,  Land Size (in aana/dhur): 53,13-07-2021,"Rs. 30,00,000"
Keybord Sustain Pedal For Casio Yamaha & Roland,, ,29-03-2021,"Rs. 2,000"
Economics-i| Dreamland Publication| Class Xi,, ,22-10-2021,Rs. 200
Land On Sale At Narayanthan Code No 2635,Kathmandu > Narayanthan (Budhanilkantha), ,15-07-2021,"Rs. 41,00,000"
Management Accountancy| Dreamland Publication| Mbs 2nd Semester,, ,29-10-2021,Rs. 530
"0-4-1-0 Land For Sale In Khusibu, Nayabazar",Kathmandu > NayaBazar  ,  Land Size (in aana/dhur): 4.1,28-11-2021,"Rs. 78,00,000"
Creative Landscapes - Harold Davis,, ,21-12-2020,"Rs. 5,000"
Land On Sale At Kaushaltar 20 Meter Inside Araniko Highway,Bhaktapur > Kaushaltar  ,  Land Size (in aana/dhur): 4,16-08-2020,"Rs. 1,85,00,000"
Plot Land On Sell At Bagmara.,Kaski (Pokhara) > Bagmara (Outskirt), ,24-10-2021,"Rs. 55,00,000"
Thaiba Land For Sale,Lalitpur > Thaiba (Godawari)  ,  Land Size (in aana/dhur): 9,11-04-2021,"Rs. 46,00,000"
Multipurpose Land On Sell,Sunsari > Barahachhetra, ,25-11-2020,"Rs. 5,50,000"
Land On Sale At Hattiban Near La,Lalitpur > Hattiban  ,  Land Size (in aana/dhur): 5,13-10-2021,"Rs. 45,00,000"
13 Aana Land Ma Baneko House On Rent In Kusunti (pancheswor Height),Lalitpur > Kusunti  ,  Land Size (in aana/dhur): 13,30-07-2021,"Rs. 1,30,000"
8 Ana Ko 2 Tukra Land For Sale In Hepali Height,Kathmandu > Hepali Height (Budhanilkantha)  ,  Land Size (in aana/dhur): 8,11-10-2021,"Rs. 42,00,000"
Land For Sale At Thulobharang,Kathmandu > Thulo Bharyang, ,11-10-2021,"Rs. 55,00,000"
Commercial Land On Rent,Kathmandu > Mulpani (Kageshwor)  ,  Land Size (in aana/dhur): 1,20-09-2021,"Rs. 1,00,000"
Sale For Land (with Old House),Lalitpur > Ekantakuna  ,  Land Size (in aana/dhur): 5,23-10-2021,"Rs. 65,00,000"
Land On Sale At Sallaghari Code No Gjblos 1877,Bhaktapur > Sallaghari  ,  Land Size (in aana/dhur): 40,18-04-2021,"Rs. 65,00,000"
Bhakatapur Nalinchwok 4 Aana Beautiful Land,Bhaktapur > Nalinchok (Suryabinayak)  ,  Land Size (in aana/dhur): 4,26-03-2021,"Rs. 10,50,000"
Land For Sale Nikosera,Bhaktapur > Nikosera, ,12-10-2021,"Rs. 28,50,000"
Residential Sweet Northern Facing Hadigaon 4 Anaa Land,Kathmandu > Handigaun  ,  Land Size (in aana/dhur): 4,04-12-2021,"Rs. 64,00,000"
Land On Sale At Sunakothi,Lalitpur > Sunakothi  ,  Land Size (in aana/dhur): 5.5,17-09-2021,"Rs. 26,75,000"
"8 Ana Land On Sale At Sanepa, Lalitpur",Lalitpur > Sanepa  ,  Land Size (in aana/dhur): 8,22-11-2021,"Rs. 90,00,000"
Land For Sale Sital Hight Imadol,Lalitpur > Imadol (Mahalaxmi)  ,  Land Size (in aana/dhur): 4.75,21-11-2021,"Rs. 37,00,000"
Stainless Steel Multipurpose (strainer) Colander - Small 24cm,, ,16-08-2021,Rs. 430
Tathali Plotting Land On Sale,Bhaktapur > Tathali  ,  Land Size (in aana/dhur): 3,17-04-2021,"Rs. 16,00,000"
"Sukedhara,commercial Land For Sale",Kathmandu > Sukedhara  ,  Land Size (in aana/dhur): 8.1,12-04-2021,"Rs. 93,00,000"
5.5 Ropani Land On Rent At Kalopul Corridor,Kathmandu > Bishal Nagar  ,  Land Size (in aana/dhur): 86,17-09-2021,"Rs. 5,50,000"
Land On Sale,Bhaktapur > Katunje (Suryabinayak)  ,  Land Size (in aana/dhur): 5,21-03-2021,"Rs. 28,00,000"
43.5 Aana Land On Sale Baluwatar,Kathmandu > Baluwatar  ,  Land Size (in aana/dhur): 43,20-09-2021,"Rs. 1,35,00,000"
7 Aana Commercial Land West Facing At Hadigaon Dhumbarai Road On Sale,Kathmandu > Handigaun  ,  Land Size (in aana/dhur): 7,10-11-2021,"Rs. 5,50,00,000"
House For Rent Tokha Greenland,Kathmandu > Dhapasi (Tokha), ,02-07-2021,"Rs. 45,000"
Land On Sale At Hepali Chyasundol Code No Gjblos 2399,Kathmandu > Hepali Height (Budhanilkantha)  ,  Land Size (in aana/dhur): 192,13-04-2020,"Rs. 22,00,000"
Land (1838) For Sale At Pokhara,Kaski (Pokhara) > Lekhnath (Outskirt), ,08-12-2021,"Rs. 62,00,000"
10 Aana Gaibacha Chowk Bafal Tahachal Very Good Land On Sale,Kathmandu > Bafal  ,  Land Size (in aana/dhur): 10,09-11-2020,"Rs. 72,00,000"
Land On Sale At Sitapaila Nearby Wilson Acadmey,Kathmandu > Sitapaila (Nagarjun)  ,  Land Size (in aana/dhur): 2,10-03-2021,"Rs. 26,00,000"
Toyota Land Cruiser For Rent Hiring,, ,19-06-2019,"Rs. 1,000"
Land For Sale In Pasikot,Kathmandu > Pasikot (Budhanilkantha), ,27-10-2021,"Rs. 32,00,000"
Sales For Land At Lalitupr Lubu,Lalitpur > Lubhu (Mahalaxmi), ,19-09-2021,"Rs. 25,50,000"
18 Aanaa Attractive Land For Sale Chundevi Maharajgunj,Kathmandu > Chundevi (Maharajgunj)  ,  Land Size (in aana/dhur): 18,16-09-2021,"Rs. 12,60,00,000"
Land On Exchange At Kalika Kanchanpur Code No Gjbloe 001,Kanchanpur > Kanchanpur (Other Area), ,01-09-2021,"Rs. 15,00,000"
17 Anna Land On Sale At Sanepa,Lalitpur > Sanepa  ,  Land Size (in aana/dhur): 17,22-09-2021,"Rs. 85,00,000"
Urgent Sale Land At Budhanilkantha Gamchha,Kathmandu > Chapali (Budhanilkantha)  ,  Land Size (in aana/dhur): 14,09-09-2021,"Rs. 27,00,000"
Land For Sale In Kalanki,Kathmandu > Kalanki, ,29-10-2021,"Rs. 1,50,00,000"
Dillibazar Near The Trinity 8 Aanaa Land On Sale,Kathmandu > Dillibazar  ,  Land Size (in aana/dhur): 8,27-08-2021,"Rs. 85,00,000"
Land For Sale Basundhara (fhs 020l),Kathmandu > Basundhara  ,  Land Size (in aana/dhur): 5.2,10-11-2021,"Rs. 80,00,000"
11 Aanaa Commercial Land On Sale Bafal Ktm,Kathmandu > Bafal  ,  Land Size (in aana/dhur): 11,26-10-2021,"Rs. 70,00,000"
25 Ana Land For Sale At Kalanki,Kathmandu > Kalanki  ,  Land Size (in aana/dhur): 25,29-12-2021,"Rs. 1,15,00,000"
10 Ropani Land For Sale At Pokhara-21,Kaski (Pokhara) > Chorepatan (Outskirt), ,10-09-2021,"Rs. 1,20,00,000"
Land For Sale Chyasal,Lalitpur > Chyasal (Patan)  ,  Land Size (in aana/dhur): 4,19-11-2021,"Rs. 52,00,000"
Land Sale Channel Baluwatar,Kathmandu > Chandol  ,  Land Size (in aana/dhur): 5,08-11-2021,"Rs. 70,00,000"
Land On Sale At Lubhu Code No Gjblos 2478,Lalitpur > Lubhu (Mahalaxmi)  ,  Land Size (in aana/dhur): 5.3,22-09-2020,"Rs. 26,00,000"
Landline Phone Microtel Landline Phone Sp-f303 Cid With Blue Backlight,, ,06-08-2021,"Rs. 1,299"
Land On Sale At Ratopul Code No Gjblos 2614,Kathmandu > Ratopul (Gyaneshwar)  ,  Land Size (in aana/dhur): 5,16-06-2021,"Rs. 1,10,00,000"
Land For Sale Dadhikot,Bhaktapur > Dadhikot (Ananta), ,02-10-2021,"Rs. 26,50,000"
11.5 Ana Land Area House On Sale At Hattigauda,Kathmandu > Hattigaunda (Budhanilkantha)  ,  Land Size (in aana/dhur): 11.5,17-09-2021,"Rs. 5,50,00,000"
3 Ana Land Near New Baneshwor Chowk,Kathmandu > New Baneshwor  ,  Land Size (in aana/dhur): 3,09-04-2021,"Rs. 70,00,000"
(0--11--0--0) Land On Sale Buddhanilkantha,Kathmandu > Budhanilkantha  ,  Land Size (in aana/dhur): 11,14-11-2021,"Rs. 37,00,000"
7 Ropani Land For Sale At Tanahun,Tanahun > Shuklagandaki, ,19-11-2021,"Rs. 11,00,000"
Land On Sale At Kusunti Yatayat,Lalitpur > Ekantakuna  ,  Land Size (in aana/dhur): 7,22-09-2021,"Rs. 61,00,000"
Land On Sale At Budhanilkantha Code No Gjblos 2077,Kathmandu > Budhanilkantha  ,  Land Size (in aana/dhur): 4,08-06-2020,"Rs. 26,00,000"
Land Sell In Makalbari 8 Aana Land With 1 Floor House,Kathmandu > Makalbari (Jorpati)  ,  Land Size (in aana/dhur): 8,28-11-2021,"Rs. 40,00,000"
Vip Land 20 Anna In Kolone Budhanilkantha,Kathmandu > Chapali (Budhanilkantha), ,21-11-2021,"Rs. 40,25,000"
Sale For Land,Lalitpur > Sanepa  ,  Land Size (in aana/dhur): 7,19-12-2021,"Rs. 90,00,000"
Land Rent At Kuleshor Awas Urgently.,Kathmandu > Kuleshwor, ,27-09-2021,"Rs. 30,000"
For Sale Land Sirutar,Bhaktapur > Sirutar (Ananta), ,21-10-2021,"Rs. 25,00,000"
Land On Sale At Taukhel Nearby Godawari Resort,Lalitpur > Taukhel (Godawari)  ,  Land Size (in aana/dhur): 5.1,28-09-2021,"Rs. 16,50,000"
Daraz Nepal Panasonic 3-handset Cordless Landline Phone,, ,16-08-2021,"Rs. 9,000"
10 Aanaa Commercial Land On Sale Kalopul,Kathmandu > Siphal (Chabahil)  ,  Land Size (in aana/dhur): 10,18-07-2021,"Rs. 78,00,000"
"Land On Sale At Kapan, Baluwa Khani Nearby Government Hospital",Kathmandu > Kapan  ,  Land Size (in aana/dhur): 8,11-10-2021,"Rs. 32,00,000"
0-4-2-2 Ana Land At Kumarigal Bouddha Road,Kathmandu > Kumarigal (Chabahil)  ,  Land Size (in aana/dhur): 4.5,09-04-2021,"Rs. 55,00,000"
3 Ropani Commercial House/land For Rent In Khumaltar Highway,Lalitpur > Khumaltar, ,27-07-2021,"Rs. 3,50,000"
5 Ropani Land For Rent On Chabahil,Kathmandu > Chabahil, ,26-01-2021,"Rs. 6,00,000"
Roland Cube 80 Gx,, ,27-06-2016,"Rs. 43,500"
Land On Sale At Machhegau Nearby Machhegau Futsal,Kathmandu > Machhegaun (Chandragiri)  ,  Land Size (in aana/dhur): 2.8,28-04-2021,"Rs. 17,00,000"
Land For Sale Jyotinagar Kapan,Kathmandu > Jyotinagar (Kapan)  ,  Land Size (in aana/dhur): 6.5,08-08-2021,"Rs. 42,00,000"
16 Ana Commercial Land For Sale In Gaurighat,Kathmandu > Gaurighat (Chabahil)  ,  Land Size (in aana/dhur): 16,28-11-2021,"Rs. 85,00,000"
18 Ana Land At Sunrise Height,Kathmandu > Raniban (Nagarjun)  ,  Land Size (in aana/dhur): 18,07-06-2021,"Rs. 28,50,000"
6.75 Anna Land On Sale At Gwarko Nearby Ringroad,Lalitpur > Gwarko  ,  Land Size (in aana/dhur): 6.75,03-09-2021,"Rs. 65,00,000"
Land On Sale At Bhaktapur,Bhaktapur > Bageswori  ,  Land Size (in aana/dhur): 40,19-07-2020,"Rs. 4,00,000"
Pulchowk Vip Land On Sale,Lalitpur > Pulchowk  ,  Land Size (in aana/dhur): 12,12-01-2021,"Rs. 80,00,000"
7 Ana Land For Sale Is Kalanki Near Baba Petrol Station,Kathmandu > Kalanki  ,  Land Size (in aana/dhur): 7,10-10-2021,"Rs. 43,00,000"
Land For Sell,Lalitpur > Hattiban, ,09-08-2021,"Rs. 62,00,000"
"11 Aana Land On Sale At Manbhawan, Lalitpur",Lalitpur > Manbhawan (Kumaripati), ,11-11-2021,"Rs. 1,65,00,000"
Land On Sale At Babar Mahal Code No Gjblos 2563,Kathmandu > Babarmahal  ,  Land Size (in aana/dhur): 7.2,17-06-2021,"Rs. 1,40,00,000"
Land On Sale At Sipadol Near Doleshwor Mahadev,Bhaktapur > Sipadol (Suryabinayak)  ,  Land Size (in aana/dhur): 7,16-08-2020,"Rs. 53,00,000"
Land Rover Parts Available,, ,27-06-2021,"Rs. 1,000"
Land Sale In Teku,Kathmandu > Teku, ,11-07-2021,"Rs. 70,00,000"
17 Ana Land For Sale In Pasikot Budanilkantha,Kathmandu > Pasikot (Budhanilkantha)  ,  Land Size (in aana/dhur): 17,27-09-2021,"Rs. 42,00,000"
"Land For Sale At Tanahu, Nepal",Tanahun > Shuklagandaki, ,05-11-2021,"Rs. 17,00,000"
"5 Aana Land Sale At Jamunay, Tanahun",Tanahun > Shuklagandaki, ,09-12-2021,"Rs. 2,00,000"
Land For Sale Nil Saraswatithan,Kathmandu > Lazimpat  ,  Land Size (in aana/dhur): 14,09-09-2021,"Rs. 65,00,000"
Thailand Shirt,, ,26-05-2021,Rs. 999
Land On Sale At Jarsing Pauwa,Kathmandu > Sankhu (Shankharapur)  ,  Land Size (in aana/dhur): 4,22-11-2020,"Rs. 2,00,000"
Chandol Main Road Commerical Very Reasonable 7 Ana Land Near Kundalini,Kathmandu > Chandol  ,  Land Size (in aana/dhur): 7,25-08-2020,"Rs. 4,00,00,000"
1 Ropani 8 Anna Land For Sale At Pokhara,Kaski (Pokhara) > Kundahar (Outskirt), ,10-08-2021,"Rs. 1,12,50,000"
6 Aana Land For Sale At Sankhu,Kathmandu > Sankhu (Shankharapur)  ,  Land Size (in aana/dhur): 6,30-07-2019,"Rs. 7,50,000"
22 Ana Land Plus House For Sale In Hattigauda,Kathmandu > Hattigaunda (Budhanilkantha)  ,  Land Size (in aana/dhur): 22,13-09-2020,"Rs. 50,00,000"
Looking To Buy Land In Biratnagar,Morang (Biratnagar) > Bargachhi Chowk, ,10-12-2021,"Rs. 2,00,000"
Land On Sale At Hattiban Nearby I.j Pioneer School,Lalitpur > Hattiban  ,  Land Size (in aana/dhur): 3.2,23-04-2021,"Rs. 33,00,000"
Land For Rent,Kathmandu > Sitapaila (Nagarjun)  ,  Land Size (in aana/dhur): 4,01-10-2021,"Rs. 20,000"
Land For Sale Lokanthali,Bhaktapur > Lokanthali  ,  Land Size (in aana/dhur): 30,14-12-2021,"Rs. 42,00,000"
Land For Sale At Bansbai,Kathmandu > Bansbari  ,  Land Size (in aana/dhur): 13,20-08-2021,"Rs. 70,00,000"
Land On Sale At Furkechaur Makwanpur,Makwanpur (Hetauda) > Kanti rajpath  ,  Land Size (in aana/dhur): 14 K,13-10-2021,"Rs. 30,00,000"
7 Aana Plus Balwatar Wid 30 Ft Face Commercial Land Sqaure On Sale,Kathmandu > Baluwatar  ,  Land Size (in aana/dhur): 7.1,27-11-2020,"Rs. 6,30,00,000"
53071 Sunnyland Splash Play Pool Kids Cebter Fountain Sprayer,, ,04-01-2022,"Rs. 7,900"
Land For Sale Gathaghar,Bhaktapur > Gathaghar, ,10-12-2021,"Rs. 52,50,000"
Land For Sale Sitalhight Imadol,Lalitpur > Imadol (Mahalaxmi)  ,  Land Size (in aana/dhur): 22,21-11-2021,"Rs. 35,00,000"
5.5 Ana East Faced Land At Dhungedhara,Kathmandu > Dhungedhara (Banasthali)  ,  Land Size (in aana/dhur): 5.5,02-05-2021,"Rs. 36,50,000"
"Land Sell , Plot Sell In Tarakeshwor Kathmandu",Kathmandu > Kavresthali (Tarkeshwar)  ,"  Land Size (in aana/dhur): 4,3,",27-10-2021,"Rs. 25,00,000"
21 Ana Land Sell On Chabahil,Kathmandu > Chabahil  ,  Land Size (in aana/dhur): 21.5,17-11-2021,"Rs. 1,20,00,000"
Simara Land,Bara > Jeetpur Simara  ,  Land Size (in aana/dhur): 4000,30-09-2021,"Rs. 30,000"
3 Ropani Land For Sale In Mandikatar For Residence /housing/apartment,Kathmandu > Mandikatar (Dhumbarahi)  ,  Land Size (in aana/dhur): 48,18-12-2021,"Rs. 55,00,000"
"20 Dhur Land On Sale In Durga Colony , Bhairahawa",Rupandehi (Bhairahawa) > Durga Colony  ,  Land Size (in aana/dhur): 20,22-08-2019,"Rs. 3,50,000"
Dhumbarahi Land Sell 37anna,Kathmandu > Dhumbarahi  ,  Land Size (in aana/dhur): 37,26-07-2021,"Rs. 60,00,000"
Land On Sale At Tathali Code No Gjblos 2594,Bhaktapur > Tathali  ,  Land Size (in aana/dhur): 17,10-06-2021,"Rs. 15,00,000"
Commercial Land On Sale,Kathmandu > Baluwatar  ,  Land Size (in aana/dhur): 32,08-03-2021,"Rs. 70,00,000"
Land For Sale Duwakot,Bhaktapur > Duwakot (Changunarayan), ,04-12-2021,"Rs. 28,50,000"
Land For Sale In Hetauda ( Hetauda Ko Jagga Bikrima),Makwanpur (Hetauda) > Kanti rajpath  ,  Land Size (in aana/dhur): 72.5,22-08-2021,"Rs. 4,00,000"
Land (1350) For Sale At Pokhara-15,Kaski (Pokhara) > Chinedanda (Outskirt), ,10-12-2021,"Rs. 55,00,000"
Land Sell On Guheshwori,Kathmandu > Guheshwori Pashupatinath  ,  Land Size (in aana/dhur): 5,26-11-2021,"Rs. 45,00,000"
Land On Sale At Narayanthan Code No Gjblos 2487,Kathmandu > Narayanthan (Budhanilkantha)  ,  Land Size (in aana/dhur): 42,03-10-2020,"Rs. 20,00,000"
Land For Sale Sundarbasti (fhs 021l),Kathmandu > Bhangal (Budhanilkantha)  ,  Land Size (in aana/dhur): 6,13-11-2021,"Rs. 47,00,000"
Aqualand(sporty) 0.5 H.p,, ,19-11-2021,"Rs. 8,250"
Land 14 Aana Battisputali Has Old House Ans Spacious Front And Face,Kathmandu > Battisputali (Old Baneshwor)  ,  Land Size (in aana/dhur): 14,25-11-2020,"Rs. 10,75,00,000"
Chabahil 7 Aana Residential Land,Kathmandu > Chabahil  ,  Land Size (in aana/dhur): 7,29-08-2021,"Rs. 51,00,000"
Land On Sale At Narayanthan Gjblos 2670,Kathmandu > Narayanthan (Budhanilkantha)  ,  Land Size (in aana/dhur): 88,12-09-2021,"Rs. 45,00,000"
Land For Sale Hepali 4 Aana,Kathmandu > Hepali Height (Budhanilkantha)  ,  Land Size (in aana/dhur): 4,31-08-2021,"Rs. 45,00,000"
3/3.5 Ana Land For Sale In Satungal,Kathmandu > Satungal (Chandragiri)  ,  Land Size (in aana/dhur): 3,14-09-2021,"Rs. 32,00,000"
Kalanki Land On Sale,Kathmandu > Kalanki  ,  Land Size (in aana/dhur): 4,11-08-2021,"Rs. 43,00,000"
Land On Sale At Khadka Bhadrakali Hattigaunda Code No Gjblos 2475,Kathmandu > Khadka Bhadrakali (Budhanilkantha)  ,  Land Size (in aana/dhur): 16,16-09-2020,"Rs. 31,00,000"
"Adeshor , Sitapaila Land For Sale",Kathmandu > Sitapaila (Nagarjun)  ,  Land Size (in aana/dhur): 5,09-12-2019,"Rs. 38,00,000"
Pioneer Chemistry| Dreamland Publication| Class Xi,, ,21-10-2021,Rs. 615
14 Aana Commercial Land On Sale In Balkhu Highway,Kathmandu > Balkhu  ,  Land Size (in aana/dhur): 14,10-12-2021,"Rs. 1,05,00,000"
"4. Lalitpur , Bhaisepati Land On Sale",Lalitpur > Bhaisepati / Sainbu  ,  Land Size (in aana/dhur): 7,05-09-2021,"Rs. 38,00,000"
91 Ana Land At Budhanilkantha,Kathmandu > Budhanilkantha  ,  Land Size (in aana/dhur): 91,08-04-2021,"Rs. 10,00,000"
Land On Sale At Bharatpur Dharampur Code No Gjblos 2372,Chitwan (Bharatpur) > Bharatpur  ,  Land Size (in aana/dhur): 400,30-03-2020,"Rs. 1,25,000"
Land For Sale At Sanepa Main Road!,Lalitpur > Sanepa, ,28-09-2021,"Rs. 1,10,00,000"
Land Sell Baluwatar Chondool,Kathmandu > Baluwatar  ,  Land Size (in aana/dhur): 9,02-11-2021,"Rs. 80,00,000"
25 Kva Ashok Leyland,, ,15-09-2021,"Rs. 3,75,000"
For Sale Land,Kathmandu > Matatirtha (Chandragiri), ,19-11-2021,"Rs. 18,00,000"
Land On Sale At Gundu Nearby Kathmandu World School,Bhaktapur > Gundu (Ananta)  ,  Land Size (in aana/dhur): 5.3,17-03-2021,"Rs. 18,00,000"
Land On Sale At Dhapsi,Kathmandu > Dhapasi (Tokha)  ,  Land Size (in aana/dhur): 16,28-08-2021,"Rs. 45,00,000"
Pachim Chitwan Meghauli Land On Sale,Chitwan > Meghauli  ,  Land Size (in aana/dhur): 13.1,16-02-2021,"Rs. 17,50,000"
Land On Sale At Balkot Nearby Health Post,Bhaktapur > Balkot (Ananta)  ,  Land Size (in aana/dhur): 16,12-09-2021,"Rs. 36,00,000"
24 Aana Land Rent,Kathmandu > Chamati (Swayambhu)  ,  Land Size (in aana/dhur): 24,04-10-2021,"Rs. 3,50,000"
Land For Sale,Jhapa > Damak  ,  Land Size (in aana/dhur): 70,21-10-2021,"Rs. 4,00,000"
650 Ropani Land At Lapsifedi,Kathmandu > Lapsiphedi (Shankharapur)  ,  Land Size (in aana/dhur): 1040,09-04-2021,"Rs. 1,25,000"
6 Ana Land At Dhungedhara,Kathmandu > Dhungedhara (Banasthali)  ,  Land Size (in aana/dhur): 6,15-06-2021,"Rs. 40,00,000"
Land Sale In Baudha Lahure Tol,Kathmandu > Boudha, ,05-07-2021,"Rs. 60,00,000"
"0-10-2-0 Land For Sale In Nakhu, Bagdol",Lalitpur > Nakhu  ,  Land Size (in aana/dhur): 10.5,28-11-2021,"Rs. 41,00,000"
Chundevi 22aana Land,Kathmandu > Chundevi (Maharajgunj)  ,  Land Size (in aana/dhur): 22,04-10-2021,"Rs. 3,50,000"
20 And 16 Aana Land Sale At Budhanilkantha Taulung,Kathmandu > Budhanilkantha  ,  Land Size (in aana/dhur): 16,08-12-2021,"Rs. 38,00,000"
Land For Sale Ochohight,Lalitpur > Imadol (Mahalaxmi)  ,  Land Size (in aana/dhur): 5.2,14-12-2021,"Rs. 37,00,000"
Land On Sale At Imadol Nearby Hattiban Kharibot,Lalitpur > Imadol (Mahalaxmi)  ,  Land Size (in aana/dhur): 8.3,14-09-2021,"Rs. 33,00,000"
